"","year","database","n"
"1",1984,"Pf7k",1
"2",1990,"Pf7k",1
"3",1991,"Pf7k",1
"4",1993,"Pf7k",1
"5",1994,"Pf7k",1
"6",1995,"Pf7k",1
"7",1996,"Pf7k",1
"8",1996,"WWARN",1
"9",1997,"Pf7k",1
"10",1998,"Pf7k",1
"11",1998,"WWARN",1
"12",1999,"Pf7k",1
"13",1999,"WWARN",1
"14",2000,"GEOFF",1
"15",2000,"Pf7k",1
"16",2001,"GEOFF",1
"17",2001,"Pf7k",3
"18",2002,"GEOFF",1
"19",2002,"Pf7k",2
"20",2002,"WWARN",2
"21",2003,"GEOFF",1
"22",2003,"Pf7k",5
"23",2003,"WWARN",3
"24",2004,"GEOFF",1
"25",2004,"Pf7k",4
"26",2004,"WWARN",3
"27",2005,"GEOFF",4
"28",2005,"Pf7k",5
"29",2005,"WWARN",3
"30",2006,"GEOFF",1
"31",2006,"Pf7k",3
"32",2006,"WWARN",4
"33",2007,"GEOFF",2
"34",2007,"Pf7k",9
"35",2007,"WWARN",5
"36",2008,"GEOFF",4
"37",2008,"Pf7k",8
"38",2009,"GEOFF",1
"39",2009,"Pf7k",8
"40",2009,"WWARN",2
"41",2010,"GEOFF",4
"42",2010,"Pf7k",12
"43",2010,"WHO",69
"44",2010,"WWARN",8
"45",2011,"GEOFF",4
"46",2011,"Pf7k",13
"47",2011,"WHO",107
"48",2011,"WWARN",9
"49",2012,"GEOFF",12
"50",2012,"Pf7k",13
"51",2012,"WHO",254
"52",2012,"WWARN",17
"53",2013,"GEOFF",11
"54",2013,"Pf7k",20
"55",2013,"WHO",180
"56",2013,"WWARN",24
"57",2014,"GEOFF",10
"58",2014,"Pf7k",30
"59",2014,"WHO",159
"60",2014,"WWARN",21
"61",2015,"GEOFF",13
"62",2015,"Pf7k",24
"63",2015,"WHO",137
"64",2015,"WWARN",21
"65",2016,"GEOFF",14
"66",2016,"Pf7k",21
"67",2016,"WHO",129
"68",2016,"WWARN",13
"69",2017,"GEOFF",21
"70",2017,"Pf7k",18
"71",2017,"WHO",117
"72",2017,"WWARN",14
"73",2018,"GEOFF",25
"74",2018,"Pf7k",8
"75",2018,"WHO",57
"76",2018,"WWARN",13
"77",2019,"GEOFF",16
"78",2019,"WHO",31
"79",2019,"WWARN",10
"80",2020,"GEOFF",12
"81",2020,"WHO",13
"82",2021,"GEOFF",10
"83",2021,"WWARN",1
"84",2022,"GEOFF",4
"85",2023,"GEOFF",2
