"","year","database","n"
"1",1984,"Pf7k",1
"2",1990,"Pf7k",1
"3",1991,"Pf7k",1
"4",1993,"Pf7k",1
"5",1994,"Pf7k",1
"6",1995,"Pf7k",1
"7",1996,"Pf7k",1
"8",1996,"WWARN",2
"9",1997,"Pf7k",1
"10",1998,"Pf7k",1
"11",1998,"WWARN",1
"12",1999,"Pf7k",1
"13",1999,"WWARN",4
"14",2000,"GEOFF",1
"15",2000,"Pf7k",1
"16",2001,"GEOFF",1
"17",2001,"Pf7k",3
"18",2002,"GEOFF",1
"19",2002,"Pf7k",2
"20",2002,"WWARN",2
"21",2003,"GEOFF",1
"22",2003,"Pf7k",5
"23",2003,"WWARN",3
"24",2004,"GEOFF",1
"25",2004,"Pf7k",4
"26",2004,"WWARN",3
"27",2005,"GEOFF",6
"28",2005,"Pf7k",6
"29",2005,"WWARN",4
"30",2006,"GEOFF",1
"31",2006,"Pf7k",3
"32",2006,"WWARN",7
"33",2007,"GEOFF",2
"34",2007,"Pf7k",11
"35",2007,"WWARN",14
"36",2008,"GEOFF",6
"37",2008,"Pf7k",11
"38",2009,"GEOFF",1
"39",2009,"Pf7k",11
"40",2009,"WWARN",4
"41",2010,"GEOFF",6
"42",2010,"Pf7k",15
"43",2010,"WHO",69
"44",2010,"WWARN",19
"45",2011,"GEOFF",4
"46",2011,"Pf7k",29
"47",2011,"WHO",107
"48",2011,"WWARN",15
"49",2012,"GEOFF",12
"50",2012,"Pf7k",31
"51",2012,"WHO",254
"52",2012,"WWARN",45
"53",2013,"GEOFF",415
"54",2013,"Pf7k",30
"55",2013,"WHO",180
"56",2013,"WWARN",69
"57",2014,"GEOFF",23
"58",2014,"Pf7k",40
"59",2014,"WHO",159
"60",2014,"WWARN",112
"61",2015,"GEOFF",41
"62",2015,"Pf7k",38
"63",2015,"WHO",137
"64",2015,"WWARN",57
"65",2016,"GEOFF",47
"66",2016,"Pf7k",42
"67",2016,"WHO",129
"68",2016,"WWARN",20
"69",2017,"GEOFF",116
"70",2017,"Pf7k",45
"71",2017,"WHO",117
"72",2017,"WWARN",35
"73",2018,"GEOFF",116
"74",2018,"Pf7k",21
"75",2018,"WHO",57
"76",2018,"WWARN",25
"77",2019,"GEOFF",63
"78",2019,"WHO",31
"79",2019,"WWARN",26
"80",2020,"GEOFF",51
"81",2020,"WHO",13
"82",2021,"GEOFF",146
"83",2021,"WWARN",2
"84",2022,"GEOFF",14
"85",2023,"GEOFF",2
