"","x"
"1","40219818"
"2","40138574"
"3","39936828"
"4","24674355"
"5","40574802"
"6","40162260"
"7","40463542"
"8","36864926"
"9","36860282"
"10","30397515"
"11","28612053"
"12","27853513"
"13","39829636"
"14","38746440"
"15","39802777"
"16","40598187"
"17","40343740"
"18","39725320"
"19","40506728"
"20","40460097"
"21","40261068"
"22","40457392"
"23","40247054"
"24","39773552"
"25","40163420"
"26","40113916"
"27","40341172"
"28","40227034"
"29","39367758"
"30","40241183"
"31","39501325"
"32","39136465"
"33","39103358"
"34","39028193"
"35","39327613"
"36","39136468"
"37","39500918"
"38","39582041"
"39","39543235"
"40","39530682"
"41","39436072"
"42","39210367"
"43","39159629"
"44","39083679"
"45","38837973"
"46","38761813"
"47","38755607"
"48","38709067"
"49","38377612"
"50","38714692"
"51","38716192"
"52","38661223"
"53","38589874"
"54","38574776"
"55","38493162"
"56","38363295"
"57","38287365"
"58","38159875"
"59","38157311"
"60","38016502"
"61","38062464"
"62","37611122"
"63","38099304"
"64","37996707"
"65","37974079"
"66","37968386"
"67","37918005"
"68","37865113"
"69","37858587"
"70","37748765"
"71","37735560"
"72","37711239"
"73","37670357"
"74","37606241"
"75","37582796"
"76","37420214"
"77","37308503"
"78","37269630"
"79","37237307"
"80","37219373"
"81","37208708"
"82","27853513"
"83","39759387"
"84","39605531"
"85","39597971"
"86","39425178"
"87","39072017"
"88","39070647"
"89","38883763"
"90","38712186"
"91","38582941"
"92","38370674"
"93","38455947"
"94","38196592"
"95","38014035"
"96","37849789"
"97","37375534"
"98","37096145"
"99","36824880"
"100","38455314"
"101","36532481"
"102","34820155"
"103","34691144"
"104","34524109"
"105","34452235"
"106","34335033"
"107","33918981"
"108","36328000"
"109","37158739"
"110","37072433"
"111","36864514"
"112","36859238"
"113","36803541"
"114","36696458"
"115","36611259"
"116","35447389"
"117","36615340"
"118","36542676"
"119","36457004"
"120","36397090"
"121","36310880"
"122","36061874"
"123","35951528"
"124","35919251"
"125","35820756"
"126","35811813"
"127","35804461"
"128","35610655"
"129","35551239"
"130","35470127"
"131","35331243"
"132","34883497"
"133","34348573"
"134","35318914"
"135","35213688"
"136","34410358"
"137","34279219"
"138","34823528"
"139","34668767"
"140","34615917"
"141","34568082"
"142","34553687"
"143","34418991"
"144","34411157"
"145","34261791"
"146","34152946"
"147","34146993"
"148","33980273"
"149","33940188"
"150","33933099"
"151","33903109"
"152","33875422"
"153","33549122"
"154","33556786"
"155","33775670"
"156","33718278"
"157","33593382"
"158","33422068"
"159","33253481"
"160","33125913"
"161","32098634"
"162","32228566"
"163","32221555"
"164","32150544"
"165","31809965"
"166","31563454"
"167","33382691"
"168","33020162"
"169","32355199"
"170","33262482"
"171","33238987"
"172","33168025"
"173","33109270"
"174","33020152"
"175","33002398"
"176","32839222"
"177","32755588"
"178","32677899"
"179","32653033"
"180","32576258"
"181","32503540"
"182","32459360"
"183","32458607"
"184","32448203"
"185","32340987"
"186","31454309"
"187","31242921"
"188","30651111"
"189","31699532"
"190","31619243"
"191","31516103"
"192","31477109"
"193","31455301"
"194","31085516"
"195","31040246"
"196","31039178"
"197","30971230"
"198","30914041"
"199","30883571"
"200","30871535"
"201","30867018"
"202","30803964"
"203","30530597"
"204","30558627"
"205","30486796"
"206","30373565"
"207","30181370"
"208","30154519"
"209","29723168"
"210","29690890"
"211","29530046"
"212","29332155"
"213","29316929"
"214","28711439"
"215","28662682"
"216","28522690"
"217","28214367"
"218","28137810"
"219","29016309"
"220","28950417"
"221","28415996"
"222","28283009"
"223","28237831"
"224","27613271"
"225","31737048"
"226","27769292"
"227","27197604"
"228","26744416"
"229","26613787"
"230","30141587"
"231","30130006"
"232","30129722"
"233","28644374"
"234","27861509"
"235","27611315"
"236","27348298"
"237","27339129"
"238","27286886"
"239","27113354"
"240","27100094"
"241","26987480"
"242","26535806"
"243","26416757"
"244","26107772"
"245","25919029"
"246","25887344"
"247","25514047"
"248","26445487"
"249","25941403"
"250","25655315"
"251","25449286"
"252","25253286"
"253","25056012"
"254","24948693"
"255","24644299"
"256","24338354"
"257","25251193"
"258","25159520"
"259","25015414"
"260","24943486"
"261","24892677"
"262","24855124"
"263","24751352"
"264","24615128"
"265","27830190"
"266","25452699"
