"","x"
"1","28711439"
"2","37939186"
"3","39028193"
"4","26858018"
"5","39103358"
"6","40452273"
"7","34279219"
"8","34152946"
"9","39159633"
"10","34348573"
"11","39436072"
"12","37640962"
"13","26535806"
"14","39083679"
"15","37127669"
"16","37170467"
"17","37974079"
"18","33775670"
"19","39582041"
"20","33125913"
"21","38700363"
"22","30154519"
"23","38092677"
"24","37348801"
"25","36532481"
"26","35951528"
"27","27449110"
"28","37754284"
"29","37996707"
"30","33827587"
"31","38874098"
"32","33903109"
"33","34158055"
"34","37269630"
"35","32228566"
"36","39496624"
"37","36894982"
"38","33632242"
"39","34146993"
"40","38716192"
"41","40227034"
"42","34856982"
"43","36094216"
"44","35318914"
"45","32324369"
"46","26376639"
"47","34419672"
"48","37028468"
"49","33359205"
"50","37474966"
"51","32448203"
"52","33020152"
"53","39159629"
"54","34581793"
"55","37865113"
"56","37748765"
"57","27613271"
"58","36207750"
"59","35919251"
"60","32817665"
"61","32660999"
"62","27267365"
"63","37158739"
"64","25305418"
"65","31539706"
"66","39414909"
"67","35265869"
"68","33549122"
"69","37237307"
"70","39543235"
"71","33160417"
"72","33968801"
"73","33262482"
"74","32755588"
"75","35226694"
"76","33940188"
"77","31516103"
"78","35470127"
"79","26081265"
"80","35551239"
"81","37208708"
"82","36542676"
"83","33168604"
"84","37270589"
"85","26325683"
"86","28644374"
"87","35447389"
"88","37452073"
"89","33933099"
"90","34320992"
"91","34553687"
"92","32677899"
"93","31242921"
"94","31590670"
"95","34339273"
"96","25726605"
"97","31563454"
"98","37711239"
"99","39769406"
"100","37816434"
"101","25249358"
"102","34702263"
"103","30922818"
"104","31085516"
"105","28069653"
"106","25910626"
"107","36864514"
"108","31477109"
"109","33718278"
"110","33556786"
"111","38411062"
"112","28327148"
"113","40343740"
"114","36328000"
"115","36106887"
"116","37582796"
"117","40598187"
"118","37750720"
"119","37308503"
"120","38478177"
"121","30883571"
"122","34453535"
"123","29718283"
"124","40506728"
"125","33324580"
"126","27339129"
"127","34261791"
"128","34411157"
"129","34615917"
"130","32483161"
"131","31619243"
"132","30651111"
"133","37291425"
"134","33020162"
"135","34568082"
"136","36397090"
"137","38377612"
"138","29037193"
"139","31225725"
"140","40265952"
"141","34691144"
"142","40278762"
"143","36121226"
"144","31040246"
"145","35037448"
"146","38741101"
"147","33256739"
"148","33663492"
"149","36859238"
"150","32669113"
"151","34512854"
"152","38837973"
"153","29016309"
"154","37606241"
"155","29220419"
"156","38589874"
"157","38461239"
"158","35183684"
"159","32355199"
"160","31443646"
"161","37612601"
"162","32839222"
"163","30373565"
"164","33404643"
"165","38043541"
"166","39530682"
"167","38287365"
"168","36310880"
"169","33422080"
"170","37968386"
"171","39545028"
"172","31211682"
"173","39136468"
"174","38709067"
"175","37202779"
"176","34410358"
"177","32098634"
"178","37670357"
"179","36803541"
"180","27821281"
"181","33045351"
"182","27113354"
"183","33109270"
"184","37349311"
"185","25487796"
"186","34255739"
"187","38725016"
"188","34418991"
"189","25928499"
"190","30871535"
"191","38016502"
"192","33937177"
"193","33168025"
"194","31455301"
"195","27401016"
"196","32653033"
"197","32459360"
"198","36916920"
"199","26445487"
"200","33172485"
"201","26751382"
"202","33078701"
"203","32448228"
"204","30558627"
"205","32221555"
"206","28415996"
