FIELDS	DATA
countries_covered	kenya,uganda,rwanda
study_uid	ideel_bigsamples
version	v01
date_modified	2024-10-10
first_author_surname	fola
publication_year	2023
pmid	12345678
study_url	doi.org/123145678
publication_status	peer_reviewed
genotype_method	SANGER,MIPS
genotype_panel	DR2
K13_min	430
K13_max	720
MDR1_N86Y	yes
CRT_K76T	yes
individual_level_available	
haplotypes_available	
data_entry_author	abebef
data_processing_pipeline	wgs
site_level_overview_complete	yes
mutation_prev_site_complete	wide
target_genome_version	
target_regions_coverage_file	
genotype_panel_custom_spans_bed_file	
WGS_vcf_path	/path/to/WGS_analysis.vcf.gz
COI_file_path	/path/to/COI.csv
IBD_file_path	/path/to/IBD.csv
individual_wsaf_file	
indvidiual_prevalence_file	
individual_genotype_file	
individual_allele_counts_file	
server_data_folder	GEOFF_META/studies_internal/verity_et_al_NatComms_2019_DRC
genotype_panel_custom_name	
genotype_panel_custom_file	
meta_file_path	
meta_header_sample_uid	
meta_header_site_uid	
meta_header_lat_n	
meta_header_lon_e	
meta_header_collection_time	
mip_DR_analysis_dir_folder	/path/to/DR_analysis
mip_IBC_analysis_dir_path	/path/to/IBC_analysis
