sample_uid,site_uid,iso3c,site_study_type,lat_n,lon_e,date_start,date_end
SA081-Gondar-1,Tach Armachiho,ETH,health_facility,13.214726,37.17475183,2022,2022
SA096-Gondar-1,Tach Armachiho,ETH,health_facility,13.214726,37.17475183,2022,2022
SA098-Gondar-1,Tach Armachiho,ETH,health_facility,13.214726,37.17475183,2022,2022
SA132-Gondar-1,Tach Armachiho,ETH,health_facility,13.214726,37.17475183,2022,2022
SA148-Gondar-1,Tach Armachiho,ETH,health_facility,13.214726,37.17475183,2022,2022
SA152-Gondar-1,Tach Armachiho,ETH,health_facility,13.214726,37.17475183,2022,2022
SA178-Gondar-1,Tach Armachiho,ETH,health_facility,13.214726,37.17475183,2023,2023
SA229-Gondar-1,Tach Armachiho,ETH,health_facility,13.214726,37.17475183,2023,2023
SA278-Gondar-1,Tach Armachiho,ETH,health_facility,13.214726,37.17475183,2023,2023
SA285-Gondar-1,Tach Armachiho,ETH,health_facility,13.214726,37.17475183,2023,2023
SA296-Gondar-1,Tach Armachiho,ETH,health_facility,13.214726,37.17475183,2023,2023
SA322-Gondar-1,Tach Armachiho,ETH,health_facility,13.214726,37.17475183,2023,2023
SA399-Gondar-1,Tach Armachiho,ETH,health_facility,13.214726,37.17475183,2023,2023
GM014-Gondar-1,Gondar Zuria,ETH,health_facility,12.33717783,37.55155583,2022,2022
GM061-Gondar-1,Gondar Zuria,ETH,health_facility,12.33717783,37.55155583,2022,2022
GM080-Gondar-1,Gondar Zuria,ETH,health_facility,12.33717783,37.55155583,2022,2022
GM086-Gondar-1,Gondar Zuria,ETH,health_facility,12.33717783,37.55155583,2022,2022
GM091-Gondar-1,Gondar Zuria,ETH,health_facility,12.33717783,37.55155583,2022,2022
GM143-Gondar-1,Gondar Zuria,ETH,health_facility,12.33717783,37.55155583,2022,2022
GM178-Gondar-1,Gondar Zuria,ETH,health_facility,12.33717783,37.55155583,2023,2023
GM186-Gondar-1,Gondar Zuria,ETH,health_facility,12.33717783,37.55155583,2023,2023
GM222-Gondar-1,Gondar Zuria,ETH,health_facility,12.33717783,37.55155583,2023,2023
GM237-Gondar-1,Gondar Zuria,ETH,health_facility,12.33717783,37.55155583,2023,2023
GM242-Gondar-1,Gondar Zuria,ETH,health_facility,12.33717783,37.55155583,2023,2023
GM249-Gondar-1,Gondar Zuria,ETH,health_facility,12.33717783,37.55155583,2023,2023
GM250-Gondar-1,Gondar Zuria,ETH,health_facility,12.33717783,37.55155583,2023,2023
GM257-Gondar-1,Gondar Zuria,ETH,health_facility,12.33717783,37.55155583,2023,2023
GM277-Gondar-1,Gondar Zuria,ETH,health_facility,12.33717783,37.55155583,2023,2023
GM281-Gondar-1,Gondar Zuria,ETH,health_facility,12.33717783,37.55155583,2023,2023
GM311-Gondar-1,Gondar Zuria,ETH,health_facility,12.33717783,37.55155583,2023,2023
GM339-Gondar-1,Gondar Zuria,ETH,health_facility,12.33717783,37.55155583,2023,2023
GM356-Gondar-1,Gondar Zuria,ETH,health_facility,12.33717783,37.55155583,2023,2023
GM387-Gondar-1,Gondar Zuria,ETH,health_facility,12.33717783,37.55155583,2023,2023
GM402-Gondar-1,Gondar Zuria,ETH,health_facility,12.33717783,37.55155583,2023,2023
GM403-Gondar-1,Gondar Zuria,ETH,health_facility,12.33717783,37.55155583,2023,2023
GM411-Gondar-1,Gondar Zuria,ETH,health_facility,12.33717783,37.55155583,2023,2023
GM422-Gondar-1,Gondar Zuria,ETH,health_facility,12.33717783,37.55155583,2023,2023
GM430-Gondar-1,Gondar Zuria,ETH,health_facility,12.33717783,37.55155583,2023,2023
GM447-Gondar-1,Gondar Zuria,ETH,health_facility,12.33717783,37.55155583,2023,2023
GM456-Gondar-1,Gondar Zuria,ETH,health_facility,12.33717783,37.55155583,2023,2023
GM458-Gondar-1,Gondar Zuria,ETH,health_facility,12.33717783,37.55155583,2023,2023
GM461-Gondar-1,Gondar Zuria,ETH,health_facility,12.33717783,37.55155583,2023,2023
GM469-Gondar-1,Gondar Zuria,ETH,health_facility,12.33717783,37.55155583,2023,2023
GM488-Gondar-1,Gondar Zuria,ETH,health_facility,12.33717783,37.55155583,2023,2023
GM495-Gondar-1,Gondar Zuria,ETH,health_facility,12.33717783,37.55155583,2023,2023
GM497-Gondar-1,Gondar Zuria,ETH,health_facility,12.33717783,37.55155583,2023,2023
GM006-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2022,2022
GM017-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2022,2022
GM019-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2022,2022
GM023-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2022,2022
GM024-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2022,2022
GM032-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2022,2022
GM035-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2022,2022
GM047-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2022,2022
GM048-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2022,2022
GM052-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2022,2022
GM071-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2022,2022
GM093-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2022,2022
GM096-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2022,2022
GM117-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2022,2022
GM124-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2022,2022
GM126-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2022,2022
GM132-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2022,2022
GM136-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2022,2022
GM161-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2023,2023
GM182-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2023,2023
GM183-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2023,2023
GM194-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2023,2023
GM236-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2023,2023
GM240-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2023,2023
GM248-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2023,2023
GM286-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2023,2023
GM293-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2023,2023
GM316-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2023,2023
GM320-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2023,2023
GM335-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2023,2023
GM353-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2023,2023
GM357-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2023,2023
GM362-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2023,2023
GM366-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2023,2023
GM372-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2023,2023
GM377-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2023,2023
GM378-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2023,2023
GM385-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2023,2023
GM400-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2023,2023
GM404-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2023,2023
GM409-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2023,2023
GM424-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2023,2023
GM433-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2023,2023
GM435-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2023,2023
GM449-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2023,2023
GM459-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2023,2023
GM460-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2023,2023
GM468-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2023,2023
GM477-Gondar-1,Gondar Zuria,ETH,health_facility,12.411675,37.54706083,2023,2023
SA056-Gondar-1,Tach Armachiho,ETH,health_facility,12.946241,37.188411,2022,2022
SA134-Gondar-1,Tach Armachiho,ETH,health_facility,12.946241,37.188411,2022,2022
SA146-Gondar-1,Tach Armachiho,ETH,health_facility,12.946241,37.188411,2022,2022
SA164-Gondar-1,Tach Armachiho,ETH,health_facility,12.946241,37.188411,2022,2022
SA224-Gondar-1,Tach Armachiho,ETH,health_facility,12.946241,37.188411,2023,2023
SA330-Gondar-1,Tach Armachiho,ETH,health_facility,12.946241,37.188411,2023,2023
SA334-Gondar-1,Tach Armachiho,ETH,health_facility,12.946241,37.188411,2023,2023
SA365-Gondar-1,Tach Armachiho,ETH,health_facility,12.946241,37.188411,2023,2023
GM001-Gondar-1,Gondar Zuria,ETH,health_facility,12.37760883,37.625081,2022,2022
GM170-Gondar-1,Gondar Zuria,ETH,health_facility,12.37760883,37.625081,2023,2023
GM191-Gondar-1,Gondar Zuria,ETH,health_facility,12.37760883,37.625081,2023,2023
GM251-Gondar-1,Gondar Zuria,ETH,health_facility,12.37760883,37.625081,2023,2023
GM284-Gondar-1,Gondar Zuria,ETH,health_facility,12.37760883,37.625081,2023,2023
GM305-Gondar-1,Gondar Zuria,ETH,health_facility,12.37760883,37.625081,2023,2023
GM318-Gondar-1,Gondar Zuria,ETH,health_facility,12.37760883,37.625081,2023,2023
GM351-Gondar-1,Gondar Zuria,ETH,health_facility,12.37760883,37.625081,2023,2023
GM359-Gondar-1,Gondar Zuria,ETH,health_facility,12.37760883,37.625081,2023,2023
GM382-Gondar-1,Gondar Zuria,ETH,health_facility,12.37760883,37.625081,2023,2023
GM413-Gondar-1,Gondar Zuria,ETH,health_facility,12.37760883,37.625081,2023,2023
GM437-Gondar-1,Gondar Zuria,ETH,health_facility,12.37760883,37.625081,2023,2023
GM481-Gondar-1,Gondar Zuria,ETH,health_facility,12.37760883,37.625081,2023,2023
SA013-Gondar-1,Tach Armachiho,ETH,health_facility,12.91948083,37.24583583,2022,2022
SA014-Gondar-1,Tach Armachiho,ETH,health_facility,12.91948083,37.24583583,2022,2022
SA028-Gondar-1,Tach Armachiho,ETH,health_facility,12.91948083,37.24583583,2022,2022
SA036-Gondar-1,Tach Armachiho,ETH,health_facility,12.91948083,37.24583583,2022,2022
SA059-Gondar-1,Tach Armachiho,ETH,health_facility,12.91948083,37.24583583,2022,2022
SA078-Gondar-1,Tach Armachiho,ETH,health_facility,12.91948083,37.24583583,2022,2022
SA106-Gondar-1,Tach Armachiho,ETH,health_facility,12.91948083,37.24583583,2022,2022
SA122-Gondar-1,Tach Armachiho,ETH,health_facility,12.91948083,37.24583583,2022,2022
SA141-Gondar-1,Tach Armachiho,ETH,health_facility,12.91948083,37.24583583,2022,2022
SA143-Gondar-1,Tach Armachiho,ETH,health_facility,12.91948083,37.24583583,2022,2022
SA163-Gondar-1,Tach Armachiho,ETH,health_facility,12.91948083,37.24583583,2022,2022
SA359-Gondar-1,Tach Armachiho,ETH,health_facility,12.91948083,37.24583583,2023,2023
SA385-Gondar-1,Tach Armachiho,ETH,health_facility,12.91948083,37.24583583,2023,2023
GM022-Gondar-1,Gondar Zuria,ETH,health_facility,12.454428,37.58292083,2022,2022
GM025-Gondar-1,Gondar Zuria,ETH,health_facility,12.454428,37.58292083,2022,2022
GM031-Gondar-1,Gondar Zuria,ETH,health_facility,12.454428,37.58292083,2022,2022
GM044-Gondar-1,Gondar Zuria,ETH,health_facility,12.454428,37.58292083,2022,2022
GM058-Gondar-1,Gondar Zuria,ETH,health_facility,12.454428,37.58292083,2022,2022
GM101-Gondar-1,Gondar Zuria,ETH,health_facility,12.454428,37.58292083,2022,2022
GM116-Gondar-1,Gondar Zuria,ETH,health_facility,12.454428,37.58292083,2022,2022
GM125-Gondar-1,Gondar Zuria,ETH,health_facility,12.454428,37.58292083,2022,2022
GM145-Gondar-1,Gondar Zuria,ETH,health_facility,12.454428,37.58292083,2022,2022
GM147-Gondar-1,Gondar Zuria,ETH,health_facility,12.454428,37.58292083,2023,2023
GM148-Gondar-1,Gondar Zuria,ETH,health_facility,12.454428,37.58292083,2023,2023
GM152-Gondar-1,Gondar Zuria,ETH,health_facility,12.454428,37.58292083,2023,2023
GM157-Gondar-1,Gondar Zuria,ETH,health_facility,12.454428,37.58292083,2023,2023
GM201-Gondar-1,Gondar Zuria,ETH,health_facility,12.454428,37.58292083,2023,2023
GM244-Gondar-1,Gondar Zuria,ETH,health_facility,12.454428,37.58292083,2023,2023
GM264-Gondar-1,Gondar Zuria,ETH,health_facility,12.454428,37.58292083,2023,2023
GM266-Gondar-1,Gondar Zuria,ETH,health_facility,12.454428,37.58292083,2023,2023
GM314-Gondar-1,Gondar Zuria,ETH,health_facility,12.454428,37.58292083,2023,2023
GM329-Gondar-1,Gondar Zuria,ETH,health_facility,12.454428,37.58292083,2023,2023
GM374-Gondar-1,Gondar Zuria,ETH,health_facility,12.454428,37.58292083,2023,2023
GM379-Gondar-1,Gondar Zuria,ETH,health_facility,12.454428,37.58292083,2023,2023
GM395-Gondar-1,Gondar Zuria,ETH,health_facility,12.454428,37.58292083,2023,2023
GM416-Gondar-1,Gondar Zuria,ETH,health_facility,12.454428,37.58292083,2023,2023
GM429-Gondar-1,Gondar Zuria,ETH,health_facility,12.454428,37.58292083,2023,2023
GM432-Gondar-1,Gondar Zuria,ETH,health_facility,12.454428,37.58292083,2023,2023
GM452-Gondar-1,Gondar Zuria,ETH,health_facility,12.454428,37.58292083,2023,2023
GM465-Gondar-1,Gondar Zuria,ETH,health_facility,12.454428,37.58292083,2023,2023
GM476-Gondar-1,Gondar Zuria,ETH,health_facility,12.454428,37.58292083,2023,2023
GM062-Gondar-1,Gondar Zuria,ETH,health_facility,12.42626683,37.62692283,2022,2022
GM072-Gondar-1,Gondar Zuria,ETH,health_facility,12.42626683,37.62692283,2022,2022
GM077-Gondar-1,Gondar Zuria,ETH,health_facility,12.42626683,37.62692283,2022,2022
GM158-Gondar-1,Gondar Zuria,ETH,health_facility,12.42626683,37.62692283,2023,2023
GM349-Gondar-1,Gondar Zuria,ETH,health_facility,12.42626683,37.62692283,2023,2023
GM482-Gondar-1,Gondar Zuria,ETH,health_facility,12.42626683,37.62692283,2023,2023
SA020-Gondar-1,Tach Armachiho,ETH,health_facility,13.18497783,37.078093,2022,2022
SA039-Gondar-1,Tach Armachiho,ETH,health_facility,13.18497783,37.078093,2022,2022
SA101-Gondar-1,Tach Armachiho,ETH,health_facility,13.18497783,37.078093,2022,2022
SA102-Gondar-1,Tach Armachiho,ETH,health_facility,13.18497783,37.078093,2022,2022
SA352-Gondar-1,Tach Armachiho,ETH,health_facility,12.95016,37.31586583,2023,2023
SA403-Gondar-1,Tach Armachiho,ETH,health_facility,12.95016,37.31586583,2023,2023
