sample_uid,site_uid,iso3c,site_study_type,lat_n,lon_e,date_start,date_end
GAAB092490-EPHI-622I-1,Abol,ETH,health_facility,8.1879,34.3989,2022,2022
GAAB092405-EPHI-622I-1,Abol,ETH,health_facility,8.1879,34.3989,2022,2022
GAAB092409-EPHI-622I-1,Abol,ETH,health_facility,8.1879,34.3989,2022,2022
GAAB092413-EPHI-622I-1,Abol,ETH,health_facility,8.1879,34.3989,2022,2022
GAAB092416-EPHI-622I-1,Abol,ETH,health_facility,8.1879,34.3989,2022,2022
GAAB092426-EPHI-622I-1,Abol,ETH,health_facility,8.1879,34.3989,2022,2022
GAAB092433-EPHI-622I-1,Abol,ETH,health_facility,8.1879,34.3989,2022,2022
GAAB092434-EPHI-622I-1,Abol,ETH,health_facility,8.1879,34.3989,2022,2022
GAAB092437-EPHI-622I-1,Abol,ETH,health_facility,8.1879,34.3989,2022,2022
GAAB092438-EPHI-622I-1,Abol,ETH,health_facility,8.1879,34.3989,2022,2022
GAAB092439-EPHI-622I-1,Abol,ETH,health_facility,8.1879,34.3989,2022,2022
GAAB092440-EPHI-622I-1,Abol,ETH,health_facility,8.1879,34.3989,2022,2022
GAAB092441-EPHI-622I-1,Abol,ETH,health_facility,8.1879,34.3989,2022,2022
GAAB092445-EPHI-622I-1,Abol,ETH,health_facility,8.1879,34.3989,2022,2022
GAAB092446-EPHI-622I-1,Abol,ETH,health_facility,8.1879,34.3989,2022,2022
GAAB092450-EPHI-622I-1,Abol,ETH,health_facility,8.1879,34.3989,2022,2022
GAAB092453-EPHI-622I-1,Abol,ETH,health_facility,8.1879,34.3989,2022,2022
GAAB092456-EPHI-622I-1,Abol,ETH,health_facility,8.1879,34.3989,2022,2022
GAAB092458-EPHI-622I-1,Abol,ETH,health_facility,8.1879,34.3989,2022,2022
GAAB092460-EPHI-622I-1,Abol,ETH,health_facility,8.1879,34.3989,2022,2022
GAAB092461-EPHI-622I-1,Abol,ETH,health_facility,8.1879,34.3989,2022,2022
GAAB092468-EPHI-622I-1,Abol,ETH,health_facility,8.1879,34.3989,2022,2022
GAAB092473-EPHI-622I-1,Abol,ETH,health_facility,8.1879,34.3989,2022,2022
GAAB092475-EPHI-622I-1,Abol,ETH,health_facility,8.1879,34.3989,2022,2022
GAAB092476-EPHI-622I-1,Abol,ETH,health_facility,8.1879,34.3989,2022,2022
GAAB092480-EPHI-622I-1,Abol,ETH,health_facility,8.1879,34.3989,2022,2022
GAAB092481-EPHI-622I-1,Abol,ETH,health_facility,8.1879,34.3989,2022,2022
GAAB092483-EPHI-622I-1,Abol,ETH,health_facility,8.1879,34.3989,2022,2022
