sample_uid,site_uid,iso3c,site_study_type,lat_n,lon_e,date_start,date_end
5435T-EPHI-2,Ahferom,ETH,community,14.28,39.15,2018 ,2018 
5375DT-EPHI-2,Ahferom,ETH,community,14.28,39.15,2018 ,2018 
5313T-EPHI-2,Ahferom,ETH,community,14.28,39.15,2018 ,2018 
5089A-EPHI-1,Ahferom,ETH,community,14.28,39.15,2018 ,2018 
5374T-EPHI-2,Ahferom,ETH,community,14.28,39.15,2018 ,2018 
5373DT-EPHI-2,Ahferom,ETH,community,14.28,39.15,2018 ,2018 
5495DT-EPHI-2,Ahferom,ETH,community,14.28,39.15,2018 ,2018 
5269DT-EPHI-2,Ahferom,ETH,community,14.28,39.15,2018 ,2018 
5377T-EPHI-2,Ahferom,ETH,community,14.28,39.15,2018 ,2018 
5082T-EPHI-2,Ahferom,ETH,community,14.28,39.15,2018 ,2018 
5128T-EPHI-2,Ahferom,ETH,community,14.28,39.15,2018 ,2018 
5314T-EPHI-2,Ahferom,ETH,community,14.28,39.15,2018 ,2018 
5312T-EPHI-2,Ahferom,ETH,community,14.28,39.15,2018 ,2018 
5310T-EPHI-2,Ahferom,ETH,community,14.28,39.15,2018 ,2018 
5433T-EPHI-2,Ahferom,ETH,community,14.28,39.15,2018 ,2018 
5431T-EPHI-2,Ahferom,ETH,community,14.28,39.15,2018 ,2018 
5432T-EPHI-2,Ahferom,ETH,community,14.28,39.15,2018 ,2018 
5311T-EPHI-2,Ahferom,ETH,community,14.28,39.15,2018 ,2018 
5371T-EPHI-2,Ahferom,ETH,community,14.28,39.15,2018 ,2018 
5372T-EPHI-2,Ahferom,ETH,community,14.28,39.15,2018 ,2018 
5378A-EPHI-1,Ahferom,ETH,community,14.28,39.15,2018 ,2018 
5376T-EPHI-2,Ahferom,ETH,community,14.28,39.15,2018 ,2018 
5497T-EPHI-2,Ahferom,ETH,community,14.28,39.15,2018 ,2018 
5491T-EPHI-2,Ahferom,ETH,community,14.28,39.15,2018 ,2018 
5434T-EPHI-2,Ahferom,ETH,community,14.28,39.15,2018 ,2018 
3121-A-EPHI-2,At_Tsimbila,ETH,community,14.11,38.25,2018 ,2018 
3193-A-EPHI-2,At_Tsimbila,ETH,community,14.11,38.25,2018 ,2018 
3557-DT-EPHI-2,At_Tsimbila,ETH,community,14.11,38.25,2018 ,2018 
3109-DT-EPHI-2,At_Tsimbila,ETH,community,14.11,38.25,2018 ,2018 
3439DT-EPHI-2,At_Tsimbila,ETH,community,14.11,38.25,2018 ,2018 
3056-DT-EPHI-2,At_Tsimbila,ETH,community,14.11,38.25,2018 ,2018 
3108-DT-EPHI-2,At_Tsimbila,ETH,community,14.11,38.25,2018 ,2018 
3111-DT-EPHI-2,At_Tsimbila,ETH,community,14.11,38.25,2018 ,2018 
3112-DT-EPHI-2,At_Tsimbila,ETH,community,14.11,38.25,2018 ,2018 
3113-DT-EPHI-2,At_Tsimbila,ETH,community,14.11,38.25,2018 ,2018 
3115-DT-EPHI-2,At_Tsimbila,ETH,community,14.11,38.25,2018 ,2018 
3114-DT-EPHI-2,At_Tsimbila,ETH,community,14.11,38.25,2018 ,2018 
3102-DT-EPHI-2,At_Tsimbila,ETH,community,14.11,38.25,2018 ,2018 
3318-DT-EPHI-2,At_Tsimbila,ETH,community,14.11,38.25,2018 ,2018 
3317A-EPHI-1,At_Tsimbila,ETH,community,14.11,38.25,2018 ,2018 
3319T-EPHI-2,At_Tsimbila,ETH,community,14.11,38.25,2018 ,2018 
3389-DT-EPHI-2,At_Tsimbila,ETH,community,14.11,38.25,2018 ,2018 
3390-DT-EPHI-2,At_Tsimbila,ETH,community,14.11,38.25,2018 ,2018 
3391-DT-EPHI-2,At_Tsimbila,ETH,community,14.11,38.25,2018 ,2018 
3098-DT-EPHI-2,At_Tsimbila,ETH,community,14.11,38.25,2018 ,2018 
3101-DT-EPHI-2,At_Tsimbila,ETH,community,14.11,38.25,2018 ,2018 
3107-DT-EPHI-2,At_Tsimbila,ETH,community,14.11,38.25,2018 ,2018 
3182-T-EPHI-2,At_Tsimbila,ETH,community,14.11,38.25,2018 ,2018 
3194-DT-EPHI-2,At_Tsimbila,ETH,community,14.11,38.25,2018 ,2018 
3387-DT-EPHI-2,At_Tsimbila,ETH,community,14.11,38.25,2018 ,2018 
3105-DT-EPHI-2,At_Tsimbila,ETH,community,14.11,38.25,2018 ,2018 
3117-DT-EPHI-2,At_Tsimbila,ETH,community,14.11,38.25,2018 ,2018 
3100-DT-EPHI-2,At_Tsimbila,ETH,community,14.11,38.25,2018 ,2018 
3558T-EPHI-2,At_Tsimbila,ETH,community,14.11,38.25,2018 ,2018 
3184T-EPHI-2,At_Tsimbila,ETH,community,14.11,38.25,2018 ,2018 
3124T-EPHI-2,At_Tsimbila,ETH,community,14.11,38.25,2018 ,2018 
3125T-EPHI-2,At_Tsimbila,ETH,community,14.11,38.25,2018 ,2018 
3126T-EPHI-2,At_Tsimbila,ETH,community,14.11,38.25,2018 ,2018 
3399T-EPHI-2,At_Tsimbila,ETH,community,14.11,38.25,2018 ,2018 
