FIELDS	DATA
countries_covered	Ethiopia
study_uid	s0004_fola_eth_622i
version	v01
date_modified	2024-09-14
first_author_surname	Fola
publication_year	2023
pmid	37640962
study_url	https://doi.org/10.1038/s41564-023-01461-4
publication_status	peer_reviewed
genotype_method	MIPS
genotype_panel	DR2, IBC
K13_min	1
K13_max	726
MDR1_N86Y	yes
CRT_K76T	yes
individual_level_avaiable	tables
data_entry_author	AbebeF
data_processing_pipeline	MIP
site_level_overview_complete	yes
mutation_prev_site_complete	wide
target_genome_version	Pf_3D7 (MIP resource)
target_regions_coverage_file	
genotype_panel_custom_spans_bed_file	
WGS_vcf_path	
COI_file_path	/nfs/jbailey5/baileyweb/bailey_share/PROJECTS/Fola_etal-622I_Nat_Mircob_paper_dontedit/IBC/IBCvariant/EPHI_COI_result.csv
IBD_file_path	
individual_wsaf_file	
indvidiual_prevalence_file	
individual_genotype_file	
individual_allele_counts_file	
server_data_folder	/nfs/jbailey5/baileyweb/bailey_share/GEOFF_META/studies_internal/AbebeF/s0004_Fola_ETH_622I
genotype_panel_custom_name	
genotype_panel_custom_file	
meta_file_path (csv or tsv delimited)	/nfs/jbailey5/baileyweb/bailey_share/GEOFF_META/studies_internal/AbebeF/s0004_Fola_ETH_622I/s0004_Fola_metadata_DR.csv
meta_header_sample_uid	sample_uid
meta_header_site_uid	site_uid
meta_header_iso3c	iso3c
meta_header_site_study_type	site_study_type
meta_header_lat_n	lat_n
meta_header_lon_e	lon_e
meta_header_date_start	date_start
meta_header_date_end	date_end
mip_DR_analysis_dir_folder	/nfs/jbailey5/baileyweb/bailey_share/PROJECTS/Fola_etal-622I_Nat_Mircob_paper_dontedit/DR2/DR2variant
mip_IBC_analysis_dir_path	/nfs/jbailey5/baileyweb/bailey_share/PROJECTS/Fola_etal-622I_Nat_Mircob_paper_dontedit/IBC/IBCvariant
mip_merge_fastq_dir_path	/nfs/jbailey5/baileyweb/bailey_share/PROJECTS/Fola_etal-622I_Nat_Mircob_paper_dontedit/DR2/DR2mergedfastq
