site_uid	site_name	collection_location	country	iso3c	lat_n	lon_e	google_lat_long_site	coords_source	site_study_type	pretreatment_samples	study_design_age_min_years	study_design_age_max_years	study_design_sex
Nairobi	Nairobi	Nairobi	Kenya	KEN	-1.28639	36.81722	NA	NA	community	NA	NA	NA	NA
Nairobi	Nairobi	Nairobi	Kenya	KEN	-1.28639	36.81722	NA	NA	community	NA	NA	NA	NA
Kisumu	Kisumu	Kisumu	Kenya	KEN	-0.0917	34.76796	NA	NA	community	NA	NA	NA	NA
Kisumu	Kisumu	Kisumu	Kenya	KEN	-0.0917	34.76796	NA	NA	community	NA	NA	NA	NA
Alupe	Alupe	Alupe	Kenya	KEN	0.5	34.130556	NA	NA	community	NA	NA	NA	NA
Malindi	Malindi	Malindi	Kenya	KEN	-3.219186	40.11689	NA	NA	community	NA	NA	NA	NA
Kisumu	Kisumu	Kisumu	Kenya	KEN	-0.0917	34.76796	NA	NA	community	NA	NA	NA	NA
Kilifi	Kilifi	Kilifi	Kenya	KEN	-3.63045	39.84992	NA	NA	community	NA	NA	NA	NA
Malindi	Malindi	Malindi	Kenya	KEN	-3.219186	40.11689	NA	NA	community	NA	NA	NA	NA
Kisumu	Kisumu	Kisumu	Kenya	KEN	-0.0917	34.76796	NA	NA	community	NA	NA	NA	NA
Mumias	Mumias	Mumias	Kenya	KEN	0.33474	34.48796	NA	NA	community	NA	NA	NA	NA
Kombewa	Kombewa	Kombewa	Kenya	KEN	-0.116667	34.5	NA	NA	community	NA	NA	NA	NA
Kombewa	Kombewa	Kombewa	Kenya	KEN	-0.116667	34.5	NA	NA	community	NA	NA	NA	NA
Kericho	Kericho	Kericho	Kenya	KEN	-0.36774	35.28314	NA	NA	community	NA	NA	NA	NA
Kisumu	Kisumu	Kisumu	Kenya	KEN	-0.0917	34.76796	NA	NA	community	NA	NA	NA	NA
Kombewa	Kombewa	Kombewa	Kenya	KEN	-0.116667	34.5	NA	NA	community	NA	NA	NA	NA
Kisii	Kisii	Kisii	Kenya	KEN	-0.680482	34.777061	NA	NA	community	NA	NA	NA	NA
Malindi	Malindi	Malindi	Kenya	KEN	-3.219186	40.11689	NA	NA	community	NA	NA	NA	NA
Marigat	Marigat	Marigat	Kenya	KEN	0.467	35.983	NA	NA	community	NA	NA	NA	NA
Kericho	Kericho	Kericho	Kenya	KEN	-0.36774	35.28314	NA	NA	community	NA	NA	NA	NA
Kisumu	Kisumu	Kisumu	Kenya	KEN	-0.0917	34.76796	NA	NA	community	NA	NA	NA	NA
Kombewa	Kombewa	Kombewa	Kenya	KEN	-0.116667	34.5	NA	NA	community	NA	NA	NA	NA
Kisii	Kisii	Kisii	Kenya	KEN	-0.680482	34.777061	NA	NA	community	NA	NA	NA	NA
Malindi	Malindi	Malindi	Kenya	KEN	-3.219186	40.11689	NA	NA	community	NA	NA	NA	NA
Marigat	Marigat	Marigat	Kenya	KEN	0.467	35.983	NA	NA	community	NA	NA	NA	NA
Kericho	Kericho	Kericho	Kenya	KEN	-0.36774	35.28314	NA	NA	community	NA	NA	NA	NA
Kisumu	Kisumu	Kisumu	Kenya	KEN	-0.0917	34.76796	NA	NA	community	NA	NA	NA	NA
Kombewa	Kombewa	Kombewa	Kenya	KEN	-0.116667	34.5	NA	NA	community	NA	NA	NA	NA
