FIELDS	DATA
countries_covered	Tanzania
study_uid	s0007_connelly_2024_zim
version	v01
date_modified	2024-09-24
first_author_surname	Connelly
publication_year	none
pmid	NA
study_url	NA
publication_status	data_incomplete
genotype_method	MIPS
genotype_panel	DR23KE
K13_min	1
K13_max	726
MDR1_N86Y	yes
CRT_K76T	yes
individual_level_available	tables, vcf
haplotypes_available	MDR1
data_entry_author	SeanC
data_processing_pipeline	MIP
site_level_overview_complete	yes
mutation_prev_site_complete	long
target_genome_version	NA
target_regions_coverage_file	NA
genotype_panel_custom_spans_bed_file	NA
WGS_vcf_path	NA
COI_file_path	NA
IBD_file_path	NA
individual_wsaf_file	NA
indvidiual_prevalence_file	NA
individual_genotype_file	NA
individual_allele_counts_file	NA
server_data_folder	/nfs/jbailey5/baileyweb/bailey_share/GEOFF_META/studies/s0007_connelly_2024_zim/input_mip
genotype_panel_custom_name	NA
genotype_panel_custom_file	NA
meta_file_path	/nfs/jbailey5/baileyweb/bailey_share/GEOFF_META/studies/s0007_connelly_2024_zim/input_mip/meta.tsv
meta_header_sample_uid	sample_uid
meta_header_site_uid	site_uid
meta_header_iso3c	iso3c
meta_header_site_study_type	site_study_type
meta_header_lat_n	lat_n
meta_header_lon_e	lon_e
meta_header_date_start	date_start
meta_header_date_end	date_end
mip_DR_analysis_dir_folder	/nfs/jbailey5/baileyweb/svconnel/240717_ZIM_Clinic_merge/DR23KE/stats_and_variant_calling
mip_IBC_analysis_dir_path	/nfs/jbailey5/baileyweb/svconnel/240717_ZIM_Clinic_merge/240726_IBC2FULL/stats_and_variant_calling
mip_merge_fastq_dir_path	/nfs/jbailey5/baileyweb/svconnel/240717_ZIM_Clinic_merge/merge_samplesheets/output_files/240717_ZIM_mergedfastq,/nfs/jbailey5/baileyweb/svconnel/240717_ZIM_Clinic_merge/merge_samplesheets_V2/output_files/240726_ZIM_mergedfastq
