site_uid	site_name	collection_location	country	iso3c	lat_n	lon_e	google_lat_long_site	coords_source	site_study_type	pretreatment_samples	study_design_age_min_years	study_design_age_max_years	study_design_sex
sahal_hospital	sahal_hospital	sahal_hospital	Tanzania	TZA	-6.1721497	39.2493554			health_facility	Y			both
marie_stop_hospital	marie_stop_hospital	marie_stop_hospital	Tanzania	TZA	-6.1985914	39.2175814			health_facility	Y			both
care_clinic	care_clinic	care_clinic	Tanzania	TZA	-6.2071154	39.2170102			health_facility	Y			both
al_majid_dispensary	al_majid_dispensary	al_majid_dispensary	Tanzania	TZA	-6.1973715	39.2367827			health_facility	Y			both
sanasa	sanasa	sanasa	Tanzania	TZA	-6.1856988	39.2366871			health_facility	Y			both
al_hijri	al_hijri	al_hijri	Tanzania	TZA	-6.229754	39.2132113			health_facility	Y			both
znz_clinic	znz_clinic	znz_clinic	Tanzania	TZA	-6.1484955	39.2536192			health_facility	Y			both
mbuzini_clinic_and_dispensary	mbuzini_clinic_and_dispensary	mbuzini_clinic_and_dispensary	Tanzania	TZA	-6.0704617	39.2402083			health_facility	Y			both
kizimbani_phcu	kizimbani_phcu	kizimbani_phcu	Tanzania	TZA	-6.09235	39.265			health_facility	Y			both
al_najid	al_najid	al_najid	Tanzania	TZA	-6.124767	39.2154923			health_facility	Y			both
shaurimoyo	shaurimoyo	shaurimoyo	Tanzania	TZA	-6.1567114	39.2080226			health_facility	Y			both
new_asaakheri	new_asaakheri	new_asaakheri	Tanzania	TZA	-6.1632729	39.2167775			health_facility	Y			both
ziwani_polisi	ziwani_polisi	ziwani_polisi	Tanzania	TZA	-6.17206	39.2045069			health_facility	Y			both
kidutani	kidutani	kidutani	Tanzania	TZA	-6.1646275	39.192085			health_facility	Y			both
j_and_m_dispensary	j_and_m_dispensary	j_and_m_dispensary	Tanzania	TZA	-6.1773936	39.2136067			health_facility	Y			both
hassan_clinic	hassan_clinic	hassan_clinic	Tanzania	TZA	-6.1694472	39.2096168			health_facility	Y			both
michamvi	michamvi	michamvi	Tanzania	TZA	-6.18199	39.22199			health_facility	Y			both
kibuteni	kibuteni	kibuteni	Tanzania	TZA	-6.41811	39.49365			health_facility	Y			both
fujoni	fujoni	fujoni	Tanzania	TZA	-6.010697364	39.20204001			health_facility	Y			both
al_shifaa_kazole_dispenary	al_shifaa_kazole_dispenary	al_shifaa_kazole_dispenary	Tanzania	TZA	-6.02398	39.2400555			health_facility	Y			both
nungwi_phcu	nungwi_phcu	nungwi_phcu	Tanzania	TZA	-5.72742	39.29309			health_facility	Y			both
kijini_phcu	kijini_phcu	kijini_phcu	Tanzania	TZA	-5.83939	39.32987			health_facility	Y			both
kivunge	kivunge	kivunge	Tanzania	TZA	-5.8790217	39.2851083			health_facility	Y			both
ahsana_dispensary	ahsana_dispensary	ahsana_dispensary	Tanzania	TZA	-5.7273617	39.29581			health_facility	Y			both
umbuji	umbuji	umbuji	Tanzania	TZA	-6.1184643	39.3693901			health_facility	Y			both
pongwe	pongwe	pongwe	Tanzania	TZA	-6.0580223	39.4141749			health_facility	Y			both
uzini	uzini	uzini	Tanzania	TZA	-6.07339	39.32917			health_facility	Y			both
jendele	jendele	jendele	Tanzania	TZA	-6.16881	39.37547			health_facility	Y			both
marumbi	marumbi	marumbi	Tanzania	TZA	-6.13089	39.42366			health_facility	Y			both
