site_uid	site_name	collection_location	country	iso3c	lat_n	lon_e	google_lat_long_site	coords_source	site_study_type	pretreatment_samples	study_design_age_min_years	study_design_age_max_years	study_design_sex
kiboje_mkwajuni	kiboje_mkwajuni	kiboje_mkwajuni	Tanzania	TZA	-6.087903076	39.3084589			community	Y	2	70	both
machui	machui	machui	Tanzania	TZA	-6.105007633	39.28581199			community	Y	2	70	both
ghana	ghana	ghana	Tanzania	TZA	-6.043949009	39.29541653			community	Y	2	70	both
bwejuu	bwejuu	bwejuu	Tanzania	TZA	-6.248768864	39.50340128			community	Y	2	70	both
uzi	uzi	uzi	Tanzania	TZA	-6.329745252	39.39247242			community	Y	2	70	both
kitogani	kitogani	kitogani	Tanzania	TZA	-6.281302948	39.44729232			community	Y	2	70	both
tindini	tindini	tindini	Tanzania	TZA	-6.299487312	39.37097044			community	Y	2	70	both
bweleo	bweleo	bweleo	Tanzania	TZA	-6.2976737	39.2772653			community	Y	2	70	both
uzini	uzini	uzini	Tanzania	TZA	-6.079413009	39.33346784			community	Y	2	70	both
jendele	jendele	jendele	Tanzania	TZA	-6.170221047	39.37910103			community	Y	2	70	both
fumba	fumba	fumba	Tanzania	TZA	-6.315043557	39.28555337			community	Y	2	70	both
kizimkazi_dimbani	kizimkazi_dimbani	kizimkazi_dimbani	Tanzania	TZA	-6.415352769	39.46145091			community	Y	2	70	both
mtende	mtende	mtende	Tanzania	TZA	-6.456802527	39.52230369			community	Y	2	70	both
gamba	gamba	gamba	Tanzania	TZA	-5.907967889	39.30526819			community	Y	2	70	both
kiembesamaki	kiembesamaki	kiembesamaki	Tanzania	TZA	-6.213708822	39.21521275			community	Y	2	70	both
mbweni	mbweni	mbweni	Tanzania	TZA	-6.213708822	39.21521275			community	Y	2	70	both
shakani	shakani	shakani	Tanzania	TZA	-6.247979154	39.23920824			community	Y	2	70	both
chukwani	chukwani	chukwani	Tanzania	TZA	-6.237723524	39.2191038			community	Y	2	70	both
potowa	potowa	potowa	Tanzania	TZA	-5.853284992	39.28920836			community	Y	2	70	both
kisauni	kisauni	kisauni	Tanzania	TZA	-6.215031379	39.2339889			community	Y	2	70	both
maungani	maungani	maungani	Tanzania	TZA	-6.232191062	39.2539649			community	Y	2	70	both
mwakaje	mwakaje	mwakaje	Tanzania	TZA	-6.046648322	39.2589496			community	Y	2	70	both
kama	kama	kama	Tanzania	TZA	-6.04958965	39.21457635			community	Y	2	70	both
kizimbani	kizimbani	kizimbani	Tanzania	TZA	-6.0875834	39.26542976			community	Y	2	70	both
