site_uid	site_name	collection_location	country	iso3c	lat_n	lon_e	google_lat_long_site	coords_source	pretreatment_samples	site_study_type	study_design_age_min_years	study_design_age_max_years	study_design_sex	site_published_region	study_design_inclusion_criteria	study_design_exclusion_criteria	site_study_notes
Kidal	Kidal	Health center	Mali	MLI	18.44149478	1.412429676		author_comms	yes	health_facility	0	85	both				
Bafoulabe	Bafoulabe	Health center	Mali	MLI	13.20486667	-10.45149433		author_comms	yes	health_facility	0	85	both				
Bamako	Bamako	Health center	Mali	MLI	12.60286167	-7.965817461		author_comms	yes	health_facility	0	85	both				
Dioila	Dioila	Health center	Mali	MLI	12.49616229	-6.795816555		author_comms	yes	health_facility	0	85	both				
Dire	Dire	Health center	Mali	MLI	16.26063626	-3.394003004		author_comms	yes	health_facility	0	85	both				
Djenne	Djenne	Health center	Mali	MLI	13.90582758	-4.56177781		author_comms	yes	health_facility	0	85	both				
Gao	Gao	Health center	Mali	MLI	16.26318428	-0.03933194784		author_comms	yes	health_facility	0	85	both				
Kita	Kita	Health center	Mali	MLI	13.04168342	-9.493682136		author_comms	yes	health_facility	0	85	both				
Kolondieba	Kolondieba	Health center	Mali	MLI	11.09789304	-6.896410043		author_comms	yes	health_facility	0	85	both				
Nioro	Nioro	Health center	Mali	MLI	15.22653181	-9.58401029		author_comms	yes	health_facility	0	85	both				
Segou	Segou	Health center	Mali	MLI	13.39478309	-6.143713712		author_comms	yes	health_facility	0	85	both				
Tombouctou	Tombouctou	Health center	Mali	MLI	22.67654182	-3.97891432		author_comms	yes	health_facility	0	85	both				
Yelimane	Yelimane	Health center	Mali	MLI	15.11765974	-10.57381512		author_comms	yes	health_facility	0	85	both				
Taoudeni	Taoudeni	Health center	Mali	MLI	22.67654182	-3.97891432		author_comms	yes	health_facility	0	85	both				
