FIELDS	DATA
countries_covered	Gabon
study_uid	s0011_jacques-mari_gmms_unpub
version	v01
date_modified	2019-09-24
first_author_surname	Niare
publication_year	
pmid	
study_url	
publication_status	data_incomplete
genotype_method	MIPS
genotype_panel	DR23KE, IBC2CORE
K13_min	1
K13_max	726
MDR1_N86Y	yes
CRT_K76T	yes
individual_level_available	tables
haplotypes_available	Other
data_entry_author	KaramokoN
data_processing_pipeline	MIP
site_level_overview_complete	yes
mutation_prev_site_complete	long
target_genome_version	
target_regions_coverage_file	
genotype_panel_custom_spans_bed_file	
WGS_vcf_path	
COI_file_path	
IBD_file_path	
individual_wsaf_file	
indvidiual_prevalence_file	
individual_genotype_file	
individual_allele_counts_file	
server_data_folder	
genotype_panel_custom_name	
genotype_panel_custom_file	
meta_file_path (csv or tsv delimited)	
meta_header_sample_uid	
meta_header_site_uid	
meta_header_iso3c	
meta_header_site_study_type	
meta_header_lat_n	
meta_header_lon_e	
meta_header_date_start	
meta_header_date_end	
mip_DR_analysis_dir_folder	
mip_IBC_analysis_dir_path	
mip_merge_fastq_dir_path	
