FIELDS	DATA
countries_covered	rwanda
study_uid	s0014_young_rwa_unpub
version	v01
date_modified	2024-09-17
first_author_surname	wernsmanyoung
publication_year	2024
pmid	38746440
study_url	NA
publication_status	other
genotype_method	MIPS
genotype_panel	DR23KE,DR2
K13_min	1
K13_max	726
MDR1_N86Y	yes
CRT_K76T	yes
individual_level_available	tables
haplotypes_available	MDR1
data_entry_author	neevay
data_processing_pipeline	mip
site_level_overview_complete	yes
mutation_prev_site_complete	long
target_genome_version	Pf_3D7(MIPresource)
target_regions_coverage_file	NA
genotype_panel_custom_spans_bed_file	NA
WGS_vcf_path	NA
COI_file_path	NA
IBD_file_path	NA
individual_wsaf_file	NA
indvidiual_prevalence_file	NA
individual_genotype_file	NA
individual_allele_counts_file	NA
server_data_folder	/nfs/jbailey5/baileyweb/bailey_share/GEOFF_META/studies/s0014_young_rwa_unpub_v01/combined_input_mip
genotype_panel_custom_name	NA
genotype_panel_custom_file	NA
meta_file_path	/nfs/jbailey5/baileyweb/bailey_share/GEOFF_META/studies/s0014_young_rwa_unpub_v01/combined_input_mip/metadata_DR.csv
meta_header_sample_uid	sample_uid
meta_header_site_uid	site_uid
meta_header_iso3c	iso3c
meta_header_site_study_type	site_study_type
meta_header_lat_n	lat_n
meta_header_lon_e	lon_e
meta_header_date_start	date_start
meta_header_date_end	date_end
mip_DR_analysis_dir_folder	NA
mip_IBC_analysis_dir_path	NA
mip_merge_fastq_dir_path	NA
