site_uid	site_name	collection_location	country	iso3c	lat_n	lon_e	google_lat_long_site	coords_source	site_study_type	study_design_age_min_years	study_design_age_max_years	study_design_sex	site_published_region	study_design_inclusion_criteria	study_design_exclusion_criteria	site_study_notes
Ilemela	Ilemela	Ilemela	Tanzania	TZA	-2.4485	32.9663	Ilemela long lat		TES	0.5	10.0	both				
Chato	Chato	Chato	Tanzania	TZA	-2.6382	31.7668	Chato long lat		CCS			both				
Buhigwe	Buhigwe	Buhigwe	Tanzania	TZA	-4.4966	29.9278	Buhigwe long lat		CCS			both				
Kigoma	Kigoma	Kigoma	Tanzania	TZA	-4.8824	29.6615	Kigoma long lat		TES	0.5	10.0	both				
Uvinza	Uvinza	Uvinza	Tanzania	TZA	-5.1069	30.3839	Uvinza long lat		CCS			both				
Kyela	Kyela	Kyela	Tanzania	TZA	-9.5949	33.869	Kyela long lat		TES	0.5	10.0	both				
Nyasa	Nyasa	Nyasa	Tanzania	TZA	-11.377	35.1269	Nyasa long lat		CCS			both				
Tunduru	Tunduru	Tunduru	Tanzania	TZA	-11.0407	37.3293	Tunduru long lat		CCS			both				
Masasi	Masasi	Masasi	Tanzania	TZA	-10.7324	38.8101	Masasi long lat		TES	0.5	10.0	both				
Nanyumbu	Nanyumbu	Nanyumbu	Tanzania	TZA	-11.1333	38.5	Nanyumbu long lat		CCS			both				
Mtwara_DC	Mtwara DC	Mtwara DC	Tanzania	TZA	-10.7275	39.1544	Mtwara DC long lat		CCS			both				
Kibaha	Kibaha	Kibaha	Tanzania	TZA	-6.8297	38.527	Kibaha long lat		TES	0.5	10.0	both				
