FIELDS	DATA
countries_covered	Tanzania
study_uid	s0017_moser_mol_ecol
version	v01
date_modified	2024-09-23
first_author_surname	Moser
publication_year	2021
pmid	33107096
study_url	https://pubmed.ncbi.nlm.nih.gov/33107096/
publication_status	peer_reviewed
genotype_method	MIPS
genotype_panel	DR2, IBC
K13_min	1
K13_max	726
MDR1_N86Y	yes
CRT_K76T	yes
individual_level_available	
haplotypes_available	
data_entry_author	CecileMS
data_processing_pipeline	MIP
site_level_overview_complete	yes
mutation_prev_site_complete	wide
target_genome_version	
target_regions_coverage_file	
genotype_panel_custom_spans_bed_file	
WGS_vcf_path	
COI_file_path	
IBD_file_path	
individual_wsaf_file	
indvidiual_prevalence_file	
individual_genotype_file	
individual_allele_counts_file	
server_data_folder	
genotype_panel_custom_name	
genotype_panel_custom_file	
meta_file_path	
meta_header_sample_uid	
meta_header_site_uid	
meta_header_lat_n	
meta_header_lon_e	
meta_header_collection_time	
mip_DR_analysis_dir_folder	
mip_IBC_analysis_dir_path	
