FIELDS	DATA
countries_covered	Burkina Faso
study_uid	s0020_some_2024
version	v01
date_modified	2024-09-24
first_author_surname	some
publication_year	2024
pmid	38411062
study_url	10.1128/aac.01534-23
publication_status	peer_reviewed
genotype_method	MIPS
genotype_panel	DR2, DR3, DR2_mini, DR3_mini
K13_min	1
K13_max	726
MDR1_N86Y	yes
CRT_K76T	yes
individual_level_available	tables
haplotypes_available	CRT, MDR1
data_entry_author	MelissaC/SeanC
data_processing_pipeline	MIP
site_level_overview_complete	yes
mutation_prev_site_complete	wide
target_genome_version	
target_regions_coverage_file	
genotype_panel_custom_spans_bed_file	
WGS_vcf_path	
COI_file_path	
IBD_file_path	
individual_wsaf_file	
indvidiual_prevalence_file	
individual_genotype_file	
individual_allele_counts_file	
server_data_folder	/nfs/jbailey5/baileyweb/bailey_share/GEOFF_META/studies_internal/s0020_some
genotype_panel_custom_name	
genotype_panel_custom_file	
meta_file_path	/nfs/jbailey5/baileyweb/bailey_share/GEOFF_META/studies_internal/s0020_some/Some_metadata_reformat.csv
meta_header_sample_uid	ID
meta_header_site_uid	health_center
meta_header_lat_n	iso3c
meta_header_lon_e	health_facility
meta_header_collection_time	Lat
mip_DR_analysis_dir_folder	Long
mip_IBC_analysis_dir_path	date_start
