FIELDS	DATA
countries_covered	Burkina Faso
study_uid	s0021_roh_2023
version	v01
date_modified	2024-09-23
first_author_surname	Roh
publication_year	2023
pmid	37221018
study_url	https://academic.oup.com/jid/article/228/7/926/7176442
publication_status	peer_reviewed
genotype_method	MIPS
genotype_panel	DR23KE
K13_min	1
K13_max	726
MDR1_N86Y	yes
CRT_K76T	yes
individual_level_avaiable	tables
haplotypes_available	
data_entry_author	MelissaC/SeanC
data_processing_pipeline	MIP
site_level_overview_complete	yes
mutation_prev_site_complete	wide
target_genome_version	
target_regions_coverage_file	
genotype_panel_custom_spans_bed_file	
WGS_vcf_path	
COI_file_path	
IBD_file_path	
individual_wsaf_file	
indvidiual_prevalence_file	
individual_genotype_file	
individual_allele_counts_file	
server_data_folder	/nfs/jbailey5/baileyweb/bailey_share/GEOFF_META/studies_internal/s0021_roh
genotype_panel_custom_name	
genotype_panel_custom_file	
meta_file_path (csv or tsv delimited)	/nfs/jbailey5/baileyweb/bailey_share/GEOFF_META/studies_internal/s0021_roh/s0021_roh_metadata.csv
meta_header_sample_uid	sample
meta_header_site_uid	site
meta_header_iso3c	country
meta_header_site_study_type	study_type
meta_header_lat_n	Lat
meta_header_lon_e	Long
meta_header_date_start	Start
meta_header_date_end	End
mip_DR_analysis_dir_folder	/nfs/jbailey5/baileyweb/mconrad2/Analysis/Burkina/SMX_DR2_current/variants
mip_IBC_analysis_dir_path	
mip_merge_fastq_dir_path	/nfs/jbailey5/baileyweb/mconrad2/Analysis/Burkina/SMX_DR2_current/mergedfastq
