site_uid	site_name	collection_location	country	iso3c	lat_n	lon_e	google_lat_long_site	coords_source	site_study_type	pretreatment_samples	study_design_age_min_years	study_design_age_max_years	study_design_sex
ghana_a	ghana_a	ghana_a	Ghana	GHA	6.385908	-0.376496				pre_treatment			
tanzania	tanzania	tanzania	Tanzania	TZA	-2.885038	32.231354				pre_treatment			
ituri_a	ituri_a	ituri_a	DRC	COD	1.486071	30.157077				pre_treatment			
kwango_a	kwango_a	kwango_a	DRC	COD	-6.471084	16.804318				pre_treatment			
ghana_b	ghana_b	ghana_b	Ghana	GHA	5.128523	-1.274166				pre_treatment			
kinshasa_a	kinshasa_a	kinshasa_a	DRC	COD	-4.445218	15.451764				pre_treatment			
sud_ubangi_a	sud_ubangi_a	sud_ubangi_a	DRC	COD	2.412944	19.36946				pre_treatment			
maniema_a	maniema_a	maniema_a	DRC	COD	-2.580978	26.650369				pre_treatment			
kongo_central_a	kongo_central_a	kongo_central_a	DRC	COD	-5.302383	12.542507				pre_treatment			
kongo_central_b	kongo_central_b	kongo_central_b	DRC	COD	-5.225671	12.819241				pre_treatment			
nord_ubangi_a	nord_ubangi_a	nord_ubangi_a	DRC	COD	4.294957	20.993712				pre_treatment			
sud_ubangi_b	sud_ubangi_b	sud_ubangi_b	DRC	COD	3.288668	19.386717				pre_treatment			
kinshasa_b	kinshasa_b	kinshasa_b	DRC	COD	-4.417999	15.420102				pre_treatment			
nord_ubangi_b	nord_ubangi_b	nord_ubangi_b	DRC	COD	4.161589	21.908203				pre_treatment			
nord_ubangi_c	nord_ubangi_c	nord_ubangi_c	DRC	COD	4.271366	20.960716				pre_treatment			
tshopo_a	tshopo_a	tshopo_a	DRC	COD	0.518692	25.185529				pre_treatment			
ituri_b	ituri_b	ituri_b	DRC	COD	1.362086	30.414623				pre_treatment			
mai_ndombe_a	mai_ndombe_a	mai_ndombe_a	DRC	COD	-1.40087	19.3659				pre_treatment			
tshopo_b	tshopo_b	tshopo_b	DRC	COD	0.51436	25.224014				pre_treatment			
ituri_c	ituri_c	ituri_c	DRC	COD	1.845528	30.717755				pre_treatment			
ituri_d	ituri_d	ituri_d	DRC	COD	1.369532	29.513334				pre_treatment			
kwilu_a	kwilu_a	kwilu_a	DRC	COD	-3.325887	17.381457				pre_treatment			
mai_ndombe_b	mai_ndombe_b	mai_ndombe_b	DRC	COD	-1.139447	19.108588				pre_treatment			
kinshasa_c	kinshasa_c	kinshasa_c	DRC	COD	-4.087511	15.527308				pre_treatment			
lomami_a	lomami_a	lomami_a	DRC	COD	-6.723435	23.957207				pre_treatment			
mongala_a	mongala_a	mongala_a	DRC	COD	2.20298	22.468731				pre_treatment			
tshopo_c	tshopo_c	tshopo_c	DRC	COD	0.536724	25.185831				pre_treatment			
kwilu_b	kwilu_b	kwilu_b	DRC	COD	-3.312632	17.401217				pre_treatment			
mai_ndombe_c	mai_ndombe_c	mai_ndombe_c	DRC	COD	-1.274888	18.062523				pre_treatment			
kinshasa_d	kinshasa_d	kinshasa_d	DRC	COD	-4.45491	15.412701				pre_treatment			
equateur_a	equateur_a	equateur_a	DRC	COD	0.042123	18.274458				pre_treatment			
ituri_e	ituri_e	ituri_e	DRC	COD	1.240055	29.69079				pre_treatment			
