FIELDS	DATA
countries_covered	Mali, Gabon, Ghana, Uganda, Rwanda
study_uid	s0033_straimer
version	v01
date_modified	2024-09-12
first_author_surname	straimer
publication_year	2022
pmid	34216470
study_url	https://academic.oup.com/jid/article/225/8/1411/6314293?login=true
publication_status	peer_reviewed
genotype_method	Amplicon
genotype_panel	
K13_min	
K13_max	
MDR1_N86Y	no
CRT_K76T	no
data_entry_author	NeevaY
data_processing_pipeline	Hand_Entered
site_level_overview_complete	yes
mutation_prev_site_complete	wide
target_genome_version	
target_regions_coverage_file	
genotype_panel_custom_spans_bed_file	
WGS_vcf_path	
COI_file_path	
IBD_file_path	
individual_wsaf_file	
indvidiual_prevalence_file	
individual_genotype_file	
individual_allele_counts_file	
server_data_folder	
genotype_panel_custom_name	
genotype_panel_custom_file	
meta_file_path	
meta_header_sample_uid	
meta_header_site_uid	
meta_header_lat_n	
meta_header_lon_e	
meta_header_collection_time	
mip_DR_analysis_dir_folder	
mip_IBC_analysis_dir_path	
