site_uid	site_name	collection_location	country	iso3c	lat_n	lon_e	google_lat_long_site	coords_source	pretreatment_samples	site_study_type	study_design_age_min_years	study_design_age_max_years	study_design_sex	site_published_region	study_design_inclusion_criteria	study_design_exclusion_criteria	site_study_notes
Bugesera	Bugesera	Bugesera	Rwanda	RWA	-2.2315	30.1127		publication	yes	DHS	0	4.92	both		DHS	DHS	Children 6-59 months, women age 15-49, men age 15-59
Gatsibo	Gatsibo	Gatsibo	Rwanda	RWA	-1.614	30.2897		publication	yes	DHS	0	4.92	both				
Gisagara	Gisagara	Gisagara	Rwanda	RWA	-2.5854	29.8439		publication	yes	DHS	0	4.92	both				
Huye	Huye	Huye	Rwanda	RWA	-2.6005	29.7419		publication	yes	DHS	0	4.92	both				
Kamonyi	Kamonyi	Kamonyi	Rwanda	RWA	-2.0299	29.9278		publication	yes	DHS	0	4.92	both				
Karongi	Karongi	Karongi	Rwanda	RWA	-2.177	29.4644		publication	yes	DHS	0	4.92	both				
Kayonza	Kayonza	Kayonza	Rwanda	RWA	-1.7786	30.62		publication	yes	DHS	0	4.92	both				
Kirehe	Kirehe	Kirehe	Rwanda	RWA	-2.2168	30.758		publication	yes	DHS	0	4.92	both				
Ngoma	Ngoma	Ngoma	Rwanda	RWA	-2.139	30.5547		publication	yes	DHS	0	4.92	both				
Nyamagabe	Nyamagabe	Nyamagabe	Rwanda	RWA	-2.3845	29.4644		publication	yes	DHS	0	4.92	both				
Nyamasheke	Nyamasheke	Nyamasheke	Rwanda	RWA	-2.391	29.1856		publication	yes	DHS	0	4.92	both				
Nyanza	Nyanza	Nyanza	Rwanda	RWA	-2.3245	29.8121		publication	yes	DHS	0	4.92	both				
Nyaruguru	Nyaruguru	Nyaruguru	Rwanda	RWA	-2.6603	29.5572		publication	yes	DHS	0	4.92	both				
Ruhango	Ruhango	Ruhango	Rwanda	RWA	-2.1877	29.7658		publication	yes	DHS	0	4.92	both				
Rusizi	Rusizi	Rusizi	Rwanda	RWA	-2.5303	29.1856		publication	yes	DHS	0	4.92	both				
