site_uid	site_name	collection_location	country	iso3c	lat_n	lon_e	google_lat_long_site	coords_source	pretreatment_samples	site_study_type	study_design_age_min_years	study_design_age_max_years	study_design_sex	site_published_region	study_design_inclusion_criteria	study_design_exclusion_criteria	site_study_notes
Bolenge	Bolenge	Bolenge	Democratic Republic of the Congo	DRC	0.0022	18.2229	Bolenge drc lat lon	manual	yes	health_facility			both		febrile		
Fungurume	Fungurume	Fungurume	Democratic Republic of the Congo	DRC	-10.6197	26.319	drc lat lon Fungurume	manual	yes	health_facility			both		febrile		
Kalima	Kalima	Kalima	Democratic Republic of the Congo	DRC	-2.5664	26.6185	drc lat lon Kalima	manual	yes	health_facility			both		febrile		
Kamina	Kamina	Kamina	Democratic Republic of the Congo	DRC	-8.7369	24.9873	drc lat lon Kamina	manual	yes	health_facility			both		febrile		
Karawa	Karawa	Karawa	Democratic Republic of the Congo	DRC	3.3217	20.2963	drc lat lon Karawa	manual	yes	health_facility			both		febrile		
Katana	Katana	Katana	Democratic Republic of the Congo	DRC	-2.22109	28.83077	drc lat lon Katana	manual	yes	health_facility			both		febrile		
Kinshasa	Kinshasa	Kinshasa	Democratic Republic of the Congo	DRC	-4.3033	15.3105	drc lat lon Kinshasa	manual	yes	health_facility			both		febrile		
Kisangani	Kisangani	Kisangani	Democratic Republic of the Congo	DRC	0.5185	25.2008	drc lat lon Kisangani	manual	yes	health_facility			both		febrile		
Lubumbashi	Lubumbashi	Lubumbashi	Democratic Republic of the Congo	DRC	-11.6876	27.5026	drc lat lon Lubumbashi	manual	yes	health_facility			both		febrile		
Vanga	Vanga	Vanga	Democratic Republic of the Congo	DRC	-4.4154	18.4341	drc lat lon Vanga	manual	yes	health_facility			both		febrile		
