FIELDS	DATA
countries_covered	Democratic Republic of the Congo
study_uid	s0041_yobi_2022
version	v01
date_modified	2021-09-07
first_author_surname	yobi
publication_year	2021
pmid	35144535
study_url	https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-022-07112-z
publication_status	peer_reviewed
genotype_method	Sanger
genotype_panel	NA
K13_min	427
K13_max	595
MDR1_N86Y	no
CRT_K76T	yes
individual_level_available	no
haplotypes_available	k13
data_entry_author	KellyCE
data_processing_pipeline	Hand_Entered
site_level_overview_complete	yes
mutation_prev_site_complete	wide
target_genome_version	Pf_3D7 (MIP resource)
target_regions_coverage_file	
genotype_panel_custom_spans_bed_file	
WGS_vcf_path	
COI_file_path	
IBD_file_path	
individual_wsaf_file	
indvidiual_prevalence_file	
individual_genotype_file	
individual_allele_counts_file	
server_data_folder	
genotype_panel_custom_name	
genotype_panel_custom_file	
meta_file_path (csv or tsv delimited)	
meta_header_sample_uid	
meta_header_site_uid	
meta_header_iso3c	
meta_header_site_study_type	
meta_header_lat_n	
meta_header_lon_e	
meta_header_date_start	
meta_header_date_end	
mip_DR_analysis_dir_folder	
mip_IBC_analysis_dir_path	
mip_merge_fastq_dir_path	
