FIELDS	DATA
countries_covered	Angola
study_uid	s0050_davlantes
version	v01
date_modified	2024-09-24
first_author_surname	Davlantes
publication_year	2018
pmid	29615039
study_url	https://pubmed.ncbi.nlm.nih.gov/29615039/
publication_status	peer_reviewed
genotype_method	Sanger
genotype_panel	NA
K13_min	
K13_max	
MDR1_N86Y	yes
CRT_K76T	yes
data_entry_author	CecileMS
data_processing_pipeline	Hand_Entered
site_level_overview_complete	yes
mutation_prev_site_complete	long
target_genome_version	
target_regions_coverage_file	
genotype_panel_custom_spans_bed_file	
WGS_vcf_path	
COI_file_path	
IBD_file_path	
individual_wsaf_file	
indvidiual_prevalence_file	
individual_genotype_file	
individual_allele_counts_file	
server_data_folder	
genotype_panel_custom_name	
genotype_panel_custom_file	
meta_file_path	
meta_header_sample_uid	
meta_header_site_uid	
meta_header_lat_n	
meta_header_lon_e	
meta_header_collection_time	
mip_DR_analysis_dir_folder	
mip_IBC_analysis_dir_path	
