FIELDS	DATA
countries_covered	Kenya
study_uid	s0059_osborne
version	v01
date_modified	2024-09-24
first_author_surname	Osborne
publication_year	2024
pmid	39103358
study_url	https://doi.org/10.1038/s41598-024-67623-4
publication_status	NA
genotype_method	WGS
genotype_panel	NA
K13_min	NA
K13_max	NA
MDR1_N86Y	yes
CRT_K76T	yes
individual_level_available	no
haplotypes_available	DHFR
data_entry_author	
data_processing_pipeline	WGS
site_level_overview_complete	yes
mutation_prev_site_complete	wide
target_genome_version	
target_regions_coverage_file	
genotype_panel_custom_spans_bed_file	
WGS_vcf_path	
COI_file_path	
IBD_file_path	
individual_wsaf_file	
indvidiual_prevalence_file	
individual_genotype_file	
individual_allele_counts_file	
server_data_folder	
genotype_panel_custom_name	
genotype_panel_custom_file	
meta_file_path (csv or tsv delimited)	
meta_header_sample_uid	
meta_header_site_uid	
meta_header_iso3c	
meta_header_site_study_type	
meta_header_lat_n	
meta_header_lon_e	
meta_header_date_start	
meta_header_date_end	
mip_DR_analysis_dir_folder	
mip_IBC_analysis_dir_path	
mip_merge_fastq_dir_path	
